locale,type,week_zero,week_one,week_two,week_few,week_many,week_other,day_zero,day_one,day_two,day_few,day_many,day_other,hour_zero,hour_one,hour_two,hour_few,hour_many,hour_other,minute_zero,minute_one,minute_two,minute_few,minute_many,minute_other,second_zero,second_one,second_two,second_few,second_many,second_other
en-ZM,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-ZM,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
en-ZW,wide,,{0} week,,,,{0} weeks,,{0} day,,,,{0} days,,{0} hour,,,,{0} hours,,{0} minute,,,,{0} minutes,,{0} second,,,,{0} seconds
en-ZW,narrow,,{0}w,,,,{0}w,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
eo,wide,,{0} semajno,,,,{0} semajnoj,,{0} tago,,,,{0} tagoj,,{0} horo,,,,{0} horoj,,{0} minuto,,,,{0} minutoj,,{0} sekundo,,,,{0} sekundoj
eo,narrow,,{0} sem.,,,,{0} sem.,,{0} d,,,,{0} d,,{0} h,,,,{0} h,,{0} min,,,,{0} min,,{0} s,,,,{0} s
es,wide,,{0} semana,,,,{0} semanas,,{0} día,,,,{0} días,,{0} hora,,,,{0} horas,,{0} minuto,,,,{0} minutos,,{0} segundo,,,,{0} segundos
es,narrow,,{0}sem,,,,{0}sem,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
es-419,wide,,{0} semana,,,,{0} semanas,,{0} día,,,,{0} días,,{0} hora,,,,{0} horas,,{0} minuto,,,,{0} minutos,,{0} segundo,,,,{0} segundos
es-419,narrow,,{0}sem.,,,,{0}sems.,,{0}d.,,,,{0}dd.,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
es-AR,wide,,{0} semana,,,,{0} semanas,,{0} día,,,,{0} días,,{0} hora,,,,{0} horas,,{0} minuto,,,,{0} minutos,,{0} segundo,,,,{0} segundos
es-AR,narrow,,{0}sem.,,,,{0}sems.,,{0}d.,,,,{0}dd.,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}seg.,,,,{0}seg.
es-BO,wide,,{0} semana,,,,{0} semanas,,{0} día,,,,{0} días,,{0} hora,,,,{0} horas,,{0} minuto,,,,{0} minutos,,{0} segundo,,,,{0} segundos
es-BO,narrow,,{0}sem.,,,,{0}sems.,,{0}d.,,,,{0}dd.,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
es-BR,wide,,{0} semana,,,,{0} semanas,,{0} día,,,,{0} días,,{0} hora,,,,{0} horas,,{0} minuto,,,,{0} minutos,,{0} segundo,,,,{0} segundos
es-BR,narrow,,{0}sem.,,,,{0}sems.,,{0}d.,,,,{0}dd.,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
es-BZ,wide,,{0} semana,,,,{0} semanas,,{0} día,,,,{0} días,,{0} hora,,,,{0} horas,,{0} minuto,,,,{0} minutos,,{0} segundo,,,,{0} segundos
es-BZ,narrow,,{0}sem.,,,,{0}sems.,,{0}d.,,,,{0}dd.,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
es-CL,wide,,{0} semana,,,,{0} semanas,,{0} día,,,,{0} días,,{0} hora,,,,{0} horas,,{0} minuto,,,,{0} minutos,,{0} segundo,,,,{0} segundos
es-CL,narrow,,{0}sem.,,,,{0}sems.,,{0}d.,,,,{0}dd.,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
es-CO,wide,,{0} semana,,,,{0} semanas,,{0} día,,,,{0} días,,{0} hora,,,,{0} horas,,{0} minuto,,,,{0} minutos,,{0} segundo,,,,{0} segundos
es-CO,narrow,,{0} sem.,,,,{0} sems.,,{0} día,,,,{0} días,,{0} h,,,,{0} h,,{0} min,,,,{0} min,,{0} s,,,,{0} s
es-CR,wide,,{0} semana,,,,{0} semanas,,{0} día,,,,{0} días,,{0} hora,,,,{0} horas,,{0} minuto,,,,{0} minutos,,{0} segundo,,,,{0} segundos
es-CR,narrow,,{0}sem.,,,,{0}sems.,,{0}d.,,,,{0}dd.,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
es-CU,wide,,{0} semana,,,,{0} semanas,,{0} día,,,,{0} días,,{0} hora,,,,{0} horas,,{0} minuto,,,,{0} minutos,,{0} segundo,,,,{0} segundos
es-CU,narrow,,{0}sem.,,,,{0}sems.,,{0}d.,,,,{0}dd.,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
es-DO,wide,,{0} semana,,,,{0} semanas,,{0} día,,,,{0} días,,{0} hora,,,,{0} horas,,{0} minuto,,,,{0} minutos,,{0} segundo,,,,{0} segundos
es-DO,narrow,,{0}sem.,,,,{0}sems.,,{0}d.,,,,{0}d.,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
es-EA,wide,,{0} semana,,,,{0} semanas,,{0} día,,,,{0} días,,{0} hora,,,,{0} horas,,{0} minuto,,,,{0} minutos,,{0} segundo,,,,{0} segundos
es-EA,narrow,,{0}sem,,,,{0}sem,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
es-EC,wide,,{0} semana,,,,{0} semanas,,{0} día,,,,{0} días,,{0} hora,,,,{0} horas,,{0} minuto,,,,{0} minutos,,{0} segundo,,,,{0} segundos
es-EC,narrow,,{0}sem.,,,,{0}sems.,,{0}d.,,,,{0}dd.,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
es-GQ,wide,,{0} semana,,,,{0} semanas,,{0} día,,,,{0} días,,{0} hora,,,,{0} horas,,{0} minuto,,,,{0} minutos,,{0} segundo,,,,{0} segundos
es-GQ,narrow,,{0}sem,,,,{0}sem,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
es-GT,wide,,{0} semana,,,,{0} semanas,,{0} día,,,,{0} días,,{0} hora,,,,{0} horas,,{0} minuto,,,,{0} minutos,,{0} segundo,,,,{0} segundos
es-GT,narrow,,{0}sem.,,,,{0}sems.,,{0}d.,,,,{0}dd.,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
es-HN,wide,,{0} semana,,,,{0} semanas,,{0} día,,,,{0} días,,{0} hora,,,,{0} horas,,{0} minuto,,,,{0} minutos,,{0} segundo,,,,{0} segundos
es-HN,narrow,,{0}sem.,,,,{0}sems.,,{0}d.,,,,{0}dd.,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
es-IC,wide,,{0} semana,,,,{0} semanas,,{0} día,,,,{0} días,,{0} hora,,,,{0} horas,,{0} minuto,,,,{0} minutos,,{0} segundo,,,,{0} segundos
es-IC,narrow,,{0}sem,,,,{0}sem,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
es-MX,wide,,{0} semana,,,,{0} semanas,,{0} día,,,,{0} días,,{0} hora,,,,{0} horas,,{0} minuto,,,,{0} minutos,,{0} segundo,,,,{0} segundos
es-MX,narrow,,{0}sem,,,,{0}sem,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
es-NI,wide,,{0} semana,,,,{0} semanas,,{0} día,,,,{0} días,,{0} hora,,,,{0} horas,,{0} minuto,,,,{0} minutos,,{0} segundo,,,,{0} segundos
es-NI,narrow,,{0}sem.,,,,{0}sems.,,{0}d.,,,,{0}dd.,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
es-PA,wide,,{0} semana,,,,{0} semanas,,{0} día,,,,{0} días,,{0} hora,,,,{0} horas,,{0} minuto,,,,{0} minutos,,{0} segundo,,,,{0} segundos
es-PA,narrow,,{0}sem.,,,,{0}sems.,,{0}d.,,,,{0}dd.,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
es-PE,wide,,{0} semana,,,,{0} semanas,,{0} día,,,,{0} días,,{0} hora,,,,{0} horas,,{0} minuto,,,,{0} minutos,,{0} segundo,,,,{0} segundos
es-PE,narrow,,{0}sem.,,,,{0}sems.,,{0}d.,,,,{0}dd.,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
es-PH,wide,,{0} semana,,,,{0} semanas,,{0} día,,,,{0} días,,{0} hora,,,,{0} horas,,{0} minuto,,,,{0} minutos,,{0} segundo,,,,{0} segundos
es-PH,narrow,,{0}sem,,,,{0}sem,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
es-PR,wide,,{0} semana,,,,{0} semanas,,{0} día,,,,{0} días,,{0} hora,,,,{0} horas,,{0} minuto,,,,{0} minutos,,{0} segundo,,,,{0} segundos
es-PR,narrow,,{0}sem.,,,,{0}sems.,,{0}d.,,,,{0}dd.,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
es-PY,wide,,{0} semana,,,,{0} semanas,,{0} día,,,,{0} días,,{0} hora,,,,{0} horas,,{0} minuto,,,,{0} minutos,,{0} segundo,,,,{0} segundos
es-PY,narrow,,{0}sem.,,,,{0}sems.,,{0}d.,,,,{0}dd.,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
es-SV,wide,,{0} semana,,,,{0} semanas,,{0} día,,,,{0} días,,{0} hora,,,,{0} horas,,{0} minuto,,,,{0} minutos,,{0} segundo,,,,{0} segundos
es-SV,narrow,,{0}sem.,,,,{0}sems.,,{0}d.,,,,{0}dd.,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
es-US,wide,,{0} semana,,,,{0} semanas,,{0} día,,,,{0} días,,{0} hora,,,,{0} horas,,{0} minuto,,,,{0} minutos,,{0} segundo,,,,{0} segundos
es-US,narrow,,{0}sem.,,,,{0}sems.,,{0}d,,,,{0}d,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
es-UY,wide,,{0} semana,,,,{0} semanas,,{0} día,,,,{0} días,,{0} hora,,,,{0} horas,,{0} minuto,,,,{0} minutos,,{0} segundo,,,,{0} segundos
es-UY,narrow,,{0}sem.,,,,{0}sems.,,{0}d.,,,,{0}dd.,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
es-VE,wide,,{0} semana,,,,{0} semanas,,{0} día,,,,{0} días,,{0} hora,,,,{0} horas,,{0} minuto,,,,{0} minutos,,{0} segundo,,,,{0} segundos
es-VE,narrow,,{0}sem.,,,,{0}sems.,,{0}d.,,,,{0}dd.,,{0}h,,,,{0}h,,{0}min,,,,{0}min,,{0}s,,,,{0}s
et,wide,,{0} nädal,,,,{0} nädalat,,{0} ööpäev,,,,{0} ööpäeva,,{0} tund,,,,{0} tundi,,{0} minut,,,,{0} minutit,,{0} sekund,,,,{0} sekundit
et,narrow,,{0} n,,,,{0} n,,{0} p,,,,{0} p,,{0} t,,,,{0} t,,,,,,{0} min,,{0} s,,,,{0} s
eu,wide,,{0} aste,,,,{0} aste,,{0} egun,,,,{0} egun,,{0} ordu,,,,{0} ordu,,{0} minutu,,,,{0} minutu,,{0} segundo,,,,{0} segundo
eu,narrow,,{0} aste,,,,{0} aste,,{0} e.,,,,{0} e.,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
ewo,wide,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
ewo,narrow,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
fa,wide,,{0} هفته,,,,{0} هفته,,{0} روز,,,,{0} روز,,{0} ساعت,,,,{0} ساعت,,{0} دقیقه,,,,{0} دقیقه,,{0} ثانیه,,,,{0} ثانیه
fa,narrow,,{0} هفته,,,,{0} هفته,,{0} روز,,,,{0} روز,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
fa-AF,wide,,{0} هفته,,,,{0} هفته,,{0} روز,,,,{0} روز,,{0} ساعت,,,,{0} ساعت,,{0} دقیقه,,,,{0} دقیقه,,{0} ثانیه,,,,{0} ثانیه
fa-AF,narrow,,{0} هفته,,,,{0} هفته,,{0} روز,,,,{0} روز,,{0}h,,,,{0}h,,{0}m,,,,{0}m,,{0}s,,,,{0}s
ff,wide,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
ff,narrow,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
ff-Adlm,wide,,{0} 𞤴𞤮𞤲𞤼𞤫𞤪𞤫,,,,{0} 𞤶𞤮𞤲𞤼𞤫,,{0} 𞤻𞤢𞤤𞥆𞤢𞤤,,,,{0} 𞤻𞤢𞤤𞥆𞤫,,{0} 𞤲𞤶𞤢𞤥𞤲𞤣𞤭,,,,{0} 𞤲𞤶𞤢𞤥𞤤𞤭,,{0} 𞤸𞤮𞤶𞤮𞤥𞤢𞥄𞤪𞤫,,,,{0} 𞤸𞤮𞤶𞤮𞤥𞤢𞥄𞤶𞤫,,{0} 𞤳𞤭𞤲𞤰𞤮,,,,{0} 𞤳𞤭𞤲𞤰𞤫
ff-Adlm,narrow,,{0} 𞤴𞤼,,,,{0} 𞤶𞤼,,{0}𞤻,,,,{0}𞤻,,{0}𞤶,,,,{0}𞤶,,{0}𞤸𞤮𞤶,,,,{0}𞤸𞤮𞤶,,{0}𞤳𞤭𞤲,,,,{0}𞤳𞤭𞤲
ff-Adlm-BF,wide,,{0} 𞤴𞤮𞤲𞤼𞤫𞤪𞤫,,,,{0} 𞤶𞤮𞤲𞤼𞤫,,{0} 𞤻𞤢𞤤𞥆𞤢𞤤,,,,{0} 𞤻𞤢𞤤𞥆𞤫,,{0} 𞤲𞤶𞤢𞤥𞤲𞤣𞤭,,,,{0} 𞤲𞤶𞤢𞤥𞤤𞤭,,{0} 𞤸𞤮𞤶𞤮𞤥𞤢𞥄𞤪𞤫,,,,{0} 𞤸𞤮𞤶𞤮𞤥𞤢𞥄𞤶𞤫,,{0} 𞤳𞤭𞤲𞤰𞤮,,,,{0} 𞤳𞤭𞤲𞤰𞤫
ff-Adlm-BF,narrow,,{0} 𞤴𞤼,,,,{0} 𞤶𞤼,,{0}𞤻,,,,{0}𞤻,,{0}𞤶,,,,{0}𞤶,,{0}𞤸𞤮𞤶,,,,{0}𞤸𞤮𞤶,,{0}𞤳𞤭𞤲,,,,{0}𞤳𞤭𞤲
ff-Adlm-CM,wide,,{0} 𞤴𞤮𞤲𞤼𞤫𞤪𞤫,,,,{0} 𞤶𞤮𞤲𞤼𞤫,,{0} 𞤻𞤢𞤤𞥆𞤢𞤤,,,,{0} 𞤻𞤢𞤤𞥆𞤫,,{0} 𞤲𞤶𞤢𞤥𞤲𞤣𞤭,,,,{0} 𞤲𞤶𞤢𞤥𞤤𞤭,,{0} 𞤸𞤮𞤶𞤮𞤥𞤢𞥄𞤪𞤫,,,,{0} 𞤸𞤮𞤶𞤮𞤥𞤢𞥄𞤶𞤫,,{0} 𞤳𞤭𞤲𞤰𞤮,,,,{0} 𞤳𞤭𞤲𞤰𞤫
ff-Adlm-CM,narrow,,{0} 𞤴𞤼,,,,{0} 𞤶𞤼,,{0}𞤻,,,,{0}𞤻,,{0}𞤶,,,,{0}𞤶,,{0}𞤸𞤮𞤶,,,,{0}𞤸𞤮𞤶,,{0}𞤳𞤭𞤲,,,,{0}𞤳𞤭𞤲
ff-Adlm-GH,wide,,{0} 𞤴𞤮𞤲𞤼𞤫𞤪𞤫,,,,{0} 𞤶𞤮𞤲𞤼𞤫,,{0} 𞤻𞤢𞤤𞥆𞤢𞤤,,,,{0} 𞤻𞤢𞤤𞥆𞤫,,{0} 𞤲𞤶𞤢𞤥𞤲𞤣𞤭,,,,{0} 𞤲𞤶𞤢𞤥𞤤𞤭,,{0} 𞤸𞤮𞤶𞤮𞤥𞤢𞥄𞤪𞤫,,,,{0} 𞤸𞤮𞤶𞤮𞤥𞤢𞥄𞤶𞤫,,{0} 𞤳𞤭𞤲𞤰𞤮,,,,{0} 𞤳𞤭𞤲𞤰𞤫
ff-Adlm-GH,narrow,,{0} 𞤴𞤼,,,,{0} 𞤶𞤼,,{0}𞤻,,,,{0}𞤻,,{0}𞤶,,,,{0}𞤶,,{0}𞤸𞤮𞤶,,,,{0}𞤸𞤮𞤶,,{0}𞤳𞤭𞤲,,,,{0}𞤳𞤭𞤲
ff-Adlm-GM,wide,,{0} 𞤴𞤮𞤲𞤼𞤫𞤪𞤫,,,,{0} 𞤶𞤮𞤲𞤼𞤫,,{0} 𞤻𞤢𞤤𞥆𞤢𞤤,,,,{0} 𞤻𞤢𞤤𞥆𞤫,,{0} 𞤲𞤶𞤢𞤥𞤲𞤣𞤭,,,,{0} 𞤲𞤶𞤢𞤥𞤤𞤭,,{0} 𞤸𞤮𞤶𞤮𞤥𞤢𞥄𞤪𞤫,,,,{0} 𞤸𞤮𞤶𞤮𞤥𞤢𞥄𞤶𞤫,,{0} 𞤳𞤭𞤲𞤰𞤮,,,,{0} 𞤳𞤭𞤲𞤰𞤫
ff-Adlm-GM,narrow,,{0} 𞤴𞤼,,,,{0} 𞤶𞤼,,{0}𞤻,,,,{0}𞤻,,{0}𞤶,,,,{0}𞤶,,{0}𞤸𞤮𞤶,,,,{0}𞤸𞤮𞤶,,{0}𞤳𞤭𞤲,,,,{0}𞤳𞤭𞤲
ff-Adlm-GW,wide,,{0} 𞤴𞤮𞤲𞤼𞤫𞤪𞤫,,,,{0} 𞤶𞤮𞤲𞤼𞤫,,{0} 𞤻𞤢𞤤𞥆𞤢𞤤,,,,{0} 𞤻𞤢𞤤𞥆𞤫,,{0} 𞤲𞤶𞤢𞤥𞤲𞤣𞤭,,,,{0} 𞤲𞤶𞤢𞤥𞤤𞤭,,{0} 𞤸𞤮𞤶𞤮𞤥𞤢𞥄𞤪𞤫,,,,{0} 𞤸𞤮𞤶𞤮𞤥𞤢𞥄𞤶𞤫,,{0} 𞤳𞤭𞤲𞤰𞤮,,,,{0} 𞤳𞤭𞤲𞤰𞤫
ff-Adlm-GW,narrow,,{0} 𞤴𞤼,,,,{0} 𞤶𞤼,,{0}𞤻,,,,{0}𞤻,,{0}𞤶,,,,{0}𞤶,,{0}𞤸𞤮𞤶,,,,{0}𞤸𞤮𞤶,,{0}𞤳𞤭𞤲,,,,{0}𞤳𞤭𞤲
ff-Adlm-LR,wide,,{0} 𞤴𞤮𞤲𞤼𞤫𞤪𞤫,,,,{0} 𞤶𞤮𞤲𞤼𞤫,,{0} 𞤻𞤢𞤤𞥆𞤢𞤤,,,,{0} 𞤻𞤢𞤤𞥆𞤫,,{0} 𞤲𞤶𞤢𞤥𞤲𞤣𞤭,,,,{0} 𞤲𞤶𞤢𞤥𞤤𞤭,,{0} 𞤸𞤮𞤶𞤮𞤥𞤢𞥄𞤪𞤫,,,,{0} 𞤸𞤮𞤶𞤮𞤥𞤢𞥄𞤶𞤫,,{0} 𞤳𞤭𞤲𞤰𞤮,,,,{0} 𞤳𞤭𞤲𞤰𞤫
ff-Adlm-LR,narrow,,{0} 𞤴𞤼,,,,{0} 𞤶𞤼,,{0}𞤻,,,,{0}𞤻,,{0}𞤶,,,,{0}𞤶,,{0}𞤸𞤮𞤶,,,,{0}𞤸𞤮𞤶,,{0}𞤳𞤭𞤲,,,,{0}𞤳𞤭𞤲
ff-Adlm-MR,wide,,{0} 𞤴𞤮𞤲𞤼𞤫𞤪𞤫,,,,{0} 𞤶𞤮𞤲𞤼𞤫,,{0} 𞤻𞤢𞤤𞥆𞤢𞤤,,,,{0} 𞤻𞤢𞤤𞥆𞤫,,{0} 𞤲𞤶𞤢𞤥𞤲𞤣𞤭,,,,{0} 𞤲𞤶𞤢𞤥𞤤𞤭,,{0} 𞤸𞤮𞤶𞤮𞤥𞤢𞥄𞤪𞤫,,,,{0} 𞤸𞤮𞤶𞤮𞤥𞤢𞥄𞤶𞤫,,{0} 𞤳𞤭𞤲𞤰𞤮,,,,{0} 𞤳𞤭𞤲𞤰𞤫
ff-Adlm-MR,narrow,,{0} 𞤴𞤼,,,,{0} 𞤶𞤼,,{0}𞤻,,,,{0}𞤻,,{0}𞤶,,,,{0}𞤶,,{0}𞤸𞤮𞤶,,,,{0}𞤸𞤮𞤶,,{0}𞤳𞤭𞤲,,,,{0}𞤳𞤭𞤲
ff-Adlm-NE,wide,,{0} 𞤴𞤮𞤲𞤼𞤫𞤪𞤫,,,,{0} 𞤶𞤮𞤲𞤼𞤫,,{0} 𞤻𞤢𞤤𞥆𞤢𞤤,,,,{0} 𞤻𞤢𞤤𞥆𞤫,,{0} 𞤲𞤶𞤢𞤥𞤲𞤣𞤭,,,,{0} 𞤲𞤶𞤢𞤥𞤤𞤭,,{0} 𞤸𞤮𞤶𞤮𞤥𞤢𞥄𞤪𞤫,,,,{0} 𞤸𞤮𞤶𞤮𞤥𞤢𞥄𞤶𞤫,,{0} 𞤳𞤭𞤲𞤰𞤮,,,,{0} 𞤳𞤭𞤲𞤰𞤫
ff-Adlm-NE,narrow,,{0} 𞤴𞤼,,,,{0} 𞤶𞤼,,{0}𞤻,,,,{0}𞤻,,{0}𞤶,,,,{0}𞤶,,{0}𞤸𞤮𞤶,,,,{0}𞤸𞤮𞤶,,{0}𞤳𞤭𞤲,,,,{0}𞤳𞤭𞤲
ff-Adlm-NG,wide,,{0} 𞤴𞤮𞤲𞤼𞤫𞤪𞤫,,,,{0} 𞤶𞤮𞤲𞤼𞤫,,{0} 𞤻𞤢𞤤𞥆𞤢𞤤,,,,{0} 𞤻𞤢𞤤𞥆𞤫,,{0} 𞤲𞤶𞤢𞤥𞤲𞤣𞤭,,,,{0} 𞤲𞤶𞤢𞤥𞤤𞤭,,{0} 𞤸𞤮𞤶𞤮𞤥𞤢𞥄𞤪𞤫,,,,{0} 𞤸𞤮𞤶𞤮𞤥𞤢𞥄𞤶𞤫,,{0} 𞤳𞤭𞤲𞤰𞤮,,,,{0} 𞤳𞤭𞤲𞤰𞤫
ff-Adlm-NG,narrow,,{0} 𞤴𞤼,,,,{0} 𞤶𞤼,,{0}𞤻,,,,{0}𞤻,,{0}𞤶,,,,{0}𞤶,,{0}𞤸𞤮𞤶,,,,{0}𞤸𞤮𞤶,,{0}𞤳𞤭𞤲,,,,{0}𞤳𞤭𞤲
ff-Adlm-SL,wide,,{0} 𞤴𞤮𞤲𞤼𞤫𞤪𞤫,,,,{0} 𞤶𞤮𞤲𞤼𞤫,,{0} 𞤻𞤢𞤤𞥆𞤢𞤤,,,,{0} 𞤻𞤢𞤤𞥆𞤫,,{0} 𞤲𞤶𞤢𞤥𞤲𞤣𞤭,,,,{0} 𞤲𞤶𞤢𞤥𞤤𞤭,,{0} 𞤸𞤮𞤶𞤮𞤥𞤢𞥄𞤪𞤫,,,,{0} 𞤸𞤮𞤶𞤮𞤥𞤢𞥄𞤶𞤫,,{0} 𞤳𞤭𞤲𞤰𞤮,,,,{0} 𞤳𞤭𞤲𞤰𞤫
ff-Adlm-SL,narrow,,{0} 𞤴𞤼,,,,{0} 𞤶𞤼,,{0}𞤻,,,,{0}𞤻,,{0}𞤶,,,,{0}𞤶,,{0}𞤸𞤮𞤶,,,,{0}𞤸𞤮𞤶,,{0}𞤳𞤭𞤲,,,,{0}𞤳𞤭𞤲
ff-Adlm-SN,wide,,{0} 𞤴𞤮𞤲𞤼𞤫𞤪𞤫,,,,{0} 𞤶𞤮𞤲𞤼𞤫,,{0} 𞤻𞤢𞤤𞥆𞤢𞤤,,,,{0} 𞤻𞤢𞤤𞥆𞤫,,{0} 𞤲𞤶𞤢𞤥𞤲𞤣𞤭,,,,{0} 𞤲𞤶𞤢𞤥𞤤𞤭,,{0} 𞤸𞤮𞤶𞤮𞤥𞤢𞥄𞤪𞤫,,,,{0} 𞤸𞤮𞤶𞤮𞤥𞤢𞥄𞤶𞤫,,{0} 𞤳𞤭𞤲𞤰𞤮,,,,{0} 𞤳𞤭𞤲𞤰𞤫
ff-Adlm-SN,narrow,,{0} 𞤴𞤼,,,,{0} 𞤶𞤼,,{0}𞤻,,,,{0}𞤻,,{0}𞤶,,,,{0}𞤶,,{0}𞤸𞤮𞤶,,,,{0}𞤸𞤮𞤶,,{0}𞤳𞤭𞤲,,,,{0}𞤳𞤭𞤲
ff-Latn,wide,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
ff-Latn,narrow,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
ff-Latn-BF,wide,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
ff-Latn-BF,narrow,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
ff-Latn-CM,wide,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
ff-Latn-CM,narrow,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
ff-Latn-GH,wide,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
ff-Latn-GH,narrow,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
ff-Latn-GM,wide,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
ff-Latn-GM,narrow,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
ff-Latn-GN,wide,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
ff-Latn-GN,narrow,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
ff-Latn-GW,wide,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
ff-Latn-GW,narrow,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
ff-Latn-LR,wide,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
ff-Latn-LR,narrow,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
ff-Latn-MR,wide,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
ff-Latn-MR,narrow,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
ff-Latn-NE,wide,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
ff-Latn-NE,narrow,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
ff-Latn-NG,wide,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
ff-Latn-NG,narrow,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
ff-Latn-SL,wide,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
ff-Latn-SL,narrow,,,,,,{0} w,,,,,,{0} d,,,,,,{0} h,,,,,,{0} min,,,,,,{0} s
